Covidence #,Study ID,Title,Reviewer Name,Lippens et al.?,Location,Paired,Subgroup Analysis,Restaurant,Blue Collar,Office Focus,Degree Level,Study ID,Title,Lead author contact details,Document Types,Country in which the study conducted,Notes,Aim of study,Start date,End date,Total applications,Method of resume submission,Signal,Intervention and Comparisons:,Group 1 Treatment,Group 1 Control,Group 1 Condition,Group 2 Treatment,Group 2 Control,Group 2 Condition,Group 3 Treatment,Group 3 Control,Group 3 Condition,Group 4 Treatment,Group 4 Control,Group 4 Condition,Group 5 Treatment,Group 5 Control,Group 5 Condition,Group 6 Treatment,Group 6 Control,Group 6 Condition,Outcome table:,Group 1 # resumes (treat),Group 1 % callbacks (treat),Group 1 # resumes (control),Group 1 % callbacks (control),Group 2 # resumes (treat),Group 2 % callbacks (treat),Group 2 # resumes (control),Group 2 % callbacks (control),Group 3 # resumes (treat),Group 3 % callbacks (treat),Group 3 # resumes (control),Group 3 % callbacks (control),Group 4 # resumes (treat),Group 4 % callbacks (treat),Group 4 # resumes (control),Group 4 % callbacks (control),Group 5 # resumes (treat),Group 5 % callbacks (treat),Group 5 # resumes (control),Group 5 % callbacks (control),Group 6 # resumes (treat),Group 6 % callbacks (treat),Group 6 # resumes (control),Group 6 % callbacks (control),Comments,Callback by names:, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate, Name, Callback rate,Alternative outcome table:,Group 1 Mean (treat),Group 1 SD (treat),Group 1 Mean (control),Group 1 SD (control),Group 2 Mean (treat),Group 2 SD (treat),Group 2 Mean (control),Group 2 SD (control),Group 3 Mean (treat),Group 3 SD (treat),Group 3 Mean (control),Group 3 SD (control),Group 4 Mean (treat),Group 4 SD (treat),Group 4 Mean (control),Group 4 SD (control),Group 5 Mean (treat),Group 5 SD (treat),Group 5 Mean (control),Group 5 SD (control)
1705,Leasure 2020,Misdemeanor Records and Employment Outcomes: An Experimental Study,Consensus,Yes,"Columbus, Ohio ",No,Yes,Yes,Yes,Yes,High school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,Mishel 2021,Determinants of Labor Market Discrimination Against Sexual Minorities in the United States: An Intersectional and Experimental Analysis of Common Stereotypes,Consensus,No,"Missouri, California, Pennsylvania, Georgia, New York, Indiana ",Other: No,Other: Yes,No,No,Yes,College degree,Mishel 2021,"Determinants of Labor Market Discrimination against Sexual Minorities in the United States:  
An Intersectional and Experimental Analysis of Common Stereotypes",ekm331@nyu.edu,Thesis,United States,,How do gender and race stereotypes affect employment outcomes for sexual minorities? ,19-Feb,19-Jul,"3,194",Online,Name and Scholarship type,,Lesbian ,Straight ,Black,Lesbian ,Straight ,White,,,,,,,,,,,,,,741,0.21,769,0.26,745,0.31,760,0.38,,,,,,,,,,,,,,,,,Table 2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Thomas 2018,The Labor Market Value of Taste: An Experimental Study of Class Bias in U.S. Employment,Consensus,Yes,,Yes,Yes,No,No,Yes,College degree,Thomas 2018,The Labor Market Value of Taste: An Experimental Study of Class Bias in U.S. Employment.,,Journal Article,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Flake 2019,Do Ban-the-Box Laws Really Work?,Consensus,Yes,,No,Yes,Yes,Other: No,No,High school,Flake 2019,Do Ban-the-Box Laws Really Work?,,Journal Article,United States,,,17-Jun,17-Aug,2006,Online,,,,,Dallas,,,,Latino,,Dallas,,,Chicago,,,,,,,,,,,,,,,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Beauregard 2019,HIRING TESTS FOR THE MALE AND FEMALE QUEBECERS OF NORTH AFRICAN ORIGIN IN QUEBEC CITY,Consensus,No,Quebec City,Yes,Yes,No,No,Yes,College degree,Beauregard 2019,Discrimination in the hiring of Quebeckers of North African origin in Quebec City,jean‑philippe.beauregard.1@ulaval.ca,Journal Article,Canada,,Discrimination in the hiring of Quebeckers of North African origin in Quebec City,17-Mar,17-Jul,404,Online,Names,,North African,French Canadian,Male,North African,French Canadian,Female,,,,,,,,,,,,,,100,0.12,100,0.25,102,0.157,102,0.333,,,,,,,,,,,,,,,,,"Page 52, Table 3",,Mathieu Roy,0.25,Mohamed Hassane,0.12,Fatima El Alaoui,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Decker 2015,"Criminal stigma, race, and ethnicity: The consequences of imprisonment for employment",Consensus,Yes,Phoenix AZ,Yes,Yes,Yes,Yes,No,High school; Some college,Decker 2015,"Criminal stigma, race, and ethnicity: The consequences of imprisonment for employment",Scott.Decker@asu.edu,Journal Article,United States,,,2011,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Deming 2016,The Value of Postsecondary Credentials in the Labor Market: An Experimental Study,Consensus,No,"Chicago, Los Angeles, Miami, New York City, San Francisco Bay Area",Yes,Yes,No,No,Yes,High school; Some college; College degree,Deming 2016,The Value of Postsecondary Credentials in the Labor Market: An Experimental Study,david_deming@gse.harvard.edu,Journal Article,United States,Study also randomizes race and gender.,Discrimination difference between for-profit and public higher education,14-Apr,14-Nov,10492,Online,Names,,Nonwhite,White,Female,Nonwhite,White,Male,,,,,,,,,,,,,,2680,0.09,2620,0.092,2728,0.077,2456,0.066,,,,,,,,,,,,,,,,,Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Pedulla 2018,"How Race and Unemployment Shape Labor Market Opportunities: Additive, Amplified, or Muted Effects?",Consensus,No,"New York City, Atlanta, Chicago, Los Angeles, and Boston",Other: Yes,Yes,No,No,Yes,,Pedulla 2018,"How Race and Unemployment Shape Labor Market Opportunities: Additive, Amplified, or Muted Effects?",dpedulla@stanford.edu,Journal Article,United States,,Examine which aggregation pattern most accurately reflects how race and unemployment shape hiring decisions.,12-Nov,13-Jun,4822,Online,Names,,Black,White,Male,Black,White,Female,,,,,,,,,,,,,,1212,0.058,1198,0.064,1190,0.056,1222,0.085,,,,,,,,,,,,,,,,,Table 3B of Pedulla 2014 and text on page 88,,Jon Murphy,,Matthew Stevens,,Katherine Murphy,,Emily Stevens,,Darnell Washington,,Tyrone Jackson,,Kimore Washington,,Kenya Jackson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Rivera 2016,"Class Advantage, Commitment Penalty: The Gendered Effect of Social Class Signals in an Elite Labor Market",Consensus,Yes,"New York City, Washington D.C., Los Angeles, Atlanta, Boston, Chicago, Dallas, Hpuston, Miami, Philadelphia, Phoenix, San Diego, San Francisco, Seattle.",No,Yes,No,No,Yes,Graduate degree,Rivera 2016,"Class Advantage, Commitment Penalty: The Gendered Effect of Social Class Signals in an Elite Labor Market",l-rivera@kellogg.northwestern.edu,Journal Article,United States,,,14-Aug,14-Aug,316,Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,Kang 2016,Whitened Resumes: Race and Self-Presentation in the Labor Market,Consensus,Yes,"Boston, New York City, Chicago, Columbus, Minneapolis, Atlanta, Charlotte, Dallas, Houston, Nashville, Washington, Denver, Phoenix, Los Angeles, San Diego and San Francisco.",No,Yes,Yes,Yes,Yes,College degree,Kang 2016,Whitened Resumes: Race and Self-Presentation in the Labor Market,,Journal Article,United States,,,15-Jul,15-Sep,1600,Online,Names,,Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Gaddis 2015,Discrimination in the Credential Society: An Audit Study of Race and College Selectivity in the Labor Market,Consensus,Yes,"United States - Northeast, Southeast, West ",Yes,Yes,No,No,Yes,College degree,Gaddis 2015,Discrimination in the Credential Society: An Audit Study of Race and College Selectivity in the Labor Market,smg35@psu.edu,Journal Article,United States,,,11-Mar,,2016,,,,,,,Black,White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Tilcsik 2011,Pride and Prejudice: Employment Discrimination against Openly Gay Men in the United States,Consensus,Yes,"New York, Pennsylvania, California, Nevada, Ohio, Florida and Texas.",Yes,No,No,No,Yes,College degree,Tilcsik 2011,Pride and Prejudice: EmploymentDiscrimination against Openly GayMen in the United States,tilcsik@fas.harvard.edu,Journal Article,United States,,,2005,2005,3538,,,,Gay,Not Gay,,,,,,,,,,,,,,,,,,1769,,1769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Hipes 2016,The stigma of mental illness in the labor market,Consensus,Yes,"San Francisco; Seattle; Washington, D.C.; New York City; Toronto; Boston; Denver; Chicago; Atlanta; Los Angeles; Portland; Dallas; Austin. Raleigh; San Diego; Miami; Houston; Philadelphia; Phoenix; Las Vegas; Montreal; San Antonio.",No,Yes,No,No,Yes,College degree,Hipes 2016,The stigma of mental illness in the labor market,chipes@umd.edu,Journal Article,United States,,,11-Jun,12-May,635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,Does university prestige lead to discrimination in the labor market? Evidence from a labor market field experiment in three countries,Consensus,No,,Yes,Yes,No,No,Yes,College degree,Mihut 2021,Does university prestige lead to discrimination in the labor market? Evidence from a labor market field experiment in three countries. ,georgiana.g.mihut@gmail.com,Journal Article,"Other: United States, United Kingdom, and Australia",,Do employers prioritize university prestige above an applicant’s skills?,,,2400,Online,Attended institution; Skills.,,Low match,High match,United States,,,,,,,,,,,,,,,,,,0.028,,0.173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,Oreopoulos 2011,Do Large Employers Treat Racial Minorities More Fairly? An Analysis of Canadian Field Experiment Data,Consensus,Yes,Toronto and Montreal,Yes,Yes,No,Yes,Yes,College degree; Graduate degree,Oreopoulos 2011,Why Do Skilled Immigrants Struggle in the Labor Market A Field Experiment with Thirteen Thousand Resumes,philip.oreopoulos@utoronto.ca,Journal Article,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Figinski 2019,The Effect of Potential Activations on the Employment of Military Reservists: Evidence from a Field Experiment,Consensus,Yes,"Atlanta, GA; Boston, MA; Charlotte, NC; Chicago, IL; Dallas, TX; Denver, CO; Jacksonville, FL; Minneapolis-St.  Paul, MN; Phoenix, AZ; Pittsburgh, PA; San Diego, CA; and Virginia Beach, VA.",Yes,Yes,No,No,Yes,High school; Some college,Figinski 2017/2019,THE EFFECT OF POTENTIAL ACTIVATIONS ON THE EMPLOYMENT OF MILITARY RESERVISTS: EVIDENCE FROM A FIELD EXPERIMENT,Theodore.Figiiski@treasury.gov,Journal Article,United States,,How the labor market protections provided to reservists and the potential labor market absences affect the employment outcomes of reservists.,12-Aug,13-Aug,7822,Online,"Résumés included a job entry that reflected a possible level of service in the Reserves, with one indicating current membership  and one indicating past membership.",,,,,,,,,,,,,,,,,,,,,3911,,3911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,Blacklist or Short List: Do Employers Discriminate against Union Supporter Job Applicants?,Consensus,No,Chicago,No,Yes,Yes,Yes,Yes,High school,Kreisberg 2021,BLACKLIST OR SHORT LIST: DO EMPLOYERS DISCRIMINATE AGAINST UNION SUPPORTER JOB APPLICANTS?,"wilmers@mit.edu, anna_kreisberg@brown.edu",Journal Article,United States,Data available at https:/osf.io/dqgm8/,Study whether employers discriminate against union supporter job applicants.,19-Oct,20-Oct,1025,Online,"Union affiliation signaled through assignment of union membership + statement of ""History of active union participation"".",,Union,Non-union,,,,,,,,,,,,,,,,,,511,0.151,514,0.152,,,,,,,,,,,,,,,,,,,,,Table 1,,Brian Hartman,,Steven Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Gaulke 2019,The effect of post-baccalaureate business certificates on job search: Results from a correspondence study,Consensus,No,"New York, Los Angeles, Washington DC, and San Francisco.",Yes,Yes,No,No,Yes,College degree,Gaulke 2019,The effect of post-baccalaureate business certificates on job search: Results from a correspondence study. ,gaulke@ksu.edu,Journal Article,United States,"Last names were most likely to signal that the applicant was Caucasian to prevent any name-based employment discrimination from influencing the results.

Additional schooling in the form of a post-baccalaureate business certificate does not seem to be viewed in a meaning fully positive way by potential employers.",Whether post-baccalaureate business certificates improve the job callback rates of applicants,17-May,19-May,7040,Online,Assignment of post-baccalaureate certificate. ,,Women,Men,No Certificate,Women,Men,Certificate,,,,,,,,,,,,,,,0.134,,0.103,,0.121,,0.106,,,,,,,,,,,,,,,,,Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Bertrand 2004,Are Emily and Greg more employable than Lakisha and Jamal? A field experiment on labor market discrimination,Consensus,No,"Boston, Chicago",Yes,Yes,No,No,Yes,High school; Some college; College degree,Bertrand 2004,Are Emily and Greg More Employable than Lakisha and Jamal? A Field Experiment on Labor Market Discrimination,arianne.bertrand@gsb.uchicago.edu,Journal Article,United States,,How does race impact labor market discrimination? ,1-Jul,January 2002 (Boston); May 2002 (Chicago),5000,,,,African American,White,Female in admin job,African American,White,Female in sales job,African American,White,Male,,,,,,,,,,,1359,0.0655,1358,0.1046,527,0.0683,502,0.0837,549,0.0583,575,0.0887,,,,,,,,,,,,,"Page 997, Table 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Acquisti 2020,An Experiment in Hiring Discrimination via Online Social Networks,Consensus,Yes,"All US, see Figure A1",No,No,No,No,Yes,College degree; Graduate degree,Acquisti 2020,An Experiment in Hiring Discrimination via Online Social Networks,acquisti@andrew.cmu.edu,Journal Article,United States,,"Does information about ethnicity, gender, and sexuality posted on social media by job candidates influence the number of callbacks received?",Beginning of 2013,Summer 2013,,,,,,,,,,,,,,,,,,,,,,,,44,2.27,52,17.31,552,11.05,560,13.04,426,11.74,448,11.61,49,14.29,39,15.38,573,9.6,559,9.84,444,11.71,427,11.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Boyd-Swan 2019,Racial and Ethnic Discrimination in the Labor Market for Child Care Teachers,Consensus,Yes,"Atlanta, Boston, Chicago, Dallas, District of Columbia, Houston, Los Angeles, Minneapolis, New York City, Philadelphia, Phoenix, San Diego, San Francisco, and Seattle.",Yes,No,No,No,No,High school; Some college; College degree,Boyd-Swan 2019,Racial and Ethnic Discrimination in the Labor Market for Child Care Teachers,cboydswa@kent.edu,Journal Article,United States,,,16-May,17-Jan,10986,Online,Names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
