"ResponseId","study","level","competence","warm","category"
"R_301uPNEV3gTmc7E","ameri","asperger",27,48,"health"
"R_3Eu8eIanoslX7mG","ameri","spine",50,70,"health"
"R_3Eu8eIanoslX7mG","ameri","asperger",60,50,"health"
"R_2EirFGBCNTnJUur","ameri","spine",31,94,"health"
"R_2EirFGBCNTnJUur","ameri","asperger",31,83,"health"
"R_2sTOI3zKxEbRuyD","ameri","spine",74,53,"health"
"R_2sTOI3zKxEbRuyD","ameri","asperger",71,36,"health"
"R_1LG5TP6iB34k34q","ameri","spine",70,100,"health"
"R_1LG5TP6iB34k34q","ameri","asperger",79,100,"health"
"R_XXpAGk0709sIjeh","ameri","spine",87,100,"health"
"R_XXpAGk0709sIjeh","ameri","asperger",73,82,"health"
"R_3Jr8ASMTt9BZ5TV","ameri","spine",50,78,"health"
"R_3Jr8ASMTt9BZ5TV","ameri","asperger",35,22,"health"
"R_2f3TdrgVtPmYSQc","ameri","spine",65,95,"health"
"R_2f3TdrgVtPmYSQc","ameri","asperger",57,94,"health"
"R_2EuhkfukceuqxfE","ameri","spine",96,100,"health"
"R_2EuhkfukceuqxfE","ameri","asperger",96,100,"health"
"R_3Kr8sDhdGySURAK","ameri","spine",25,50,"health"
"R_3Kr8sDhdGySURAK","ameri","asperger",20,50,"health"
"R_3Hjgfyqv6dVfuBZ","ameri","spine",82,82,"health"
"R_3Hjgfyqv6dVfuBZ","ameri","asperger",95,100,"health"
"R_2rBkHyqtYnBOicv","ameri","spine",92,100,"health"
"R_2rBkHyqtYnBOicv","ameri","asperger",94,94,"health"
"R_1rvrcmDKwS0IsE2","ameri","spine",14,0,"health"
"R_1rvrcmDKwS0IsE2","ameri","asperger",0,0,"health"
"R_3nxxe9N9fevQtnb","ameri","spine",77,91,"health"
"R_3nxxe9N9fevQtnb","ameri","asperger",75,97,"health"
"R_6SfXhBAfwxugKFr","ameri","spine",71,65,"health"
"R_6SfXhBAfwxugKFr","ameri","asperger",18,31,"health"
"R_3KAZVKldTC2T5g5","ameri","spine",79,77,"health"
"R_3KAZVKldTC2T5g5","ameri","asperger",77,72,"health"
"R_25R6ieOvcKkp1N9","ameri","spine",57,82,"health"
"R_25R6ieOvcKkp1N9","ameri","asperger",11,63,"health"
"R_8wW20NgeShpLMyd","ameri","spine",71,74,"health"
"R_8wW20NgeShpLMyd","ameri","asperger",81,81,"health"
"R_3CTbBzCzwhaMlVl","ameri","spine",60,85,"health"
"R_3CTbBzCzwhaMlVl","ameri","asperger",30,75,"health"
"R_3HNclmGv9D0cDVw","ameri","spine",60,50,"health"
"R_3HNclmGv9D0cDVw","ameri","asperger",10,10,"health"
"R_2BbXqWHhYwhbYn6","ameri","spine",75,75,"health"
"R_2BbXqWHhYwhbYn6","ameri","asperger",65,75,"health"
"R_10OYrJ7CFQn9f0Q","bailey","gay",75,80,"sexual orientation"
"R_10OYrJ7CFQn9f0Q","bailey","straight",65,50,"sexual orientation"
"R_11clsXP535si0XC","bailey","gay",62,53,"sexual orientation"
"R_11clsXP535si0XC","bailey","straight",95,94,"sexual orientation"
"R_12lpV6nsIaHJ8K4","bailey","gay",70,80,"sexual orientation"
"R_12lpV6nsIaHJ8K4","bailey","straight",50,60,"sexual orientation"
"R_12nwZqkReEuu9hu","bailey","gay",50,50,"sexual orientation"
"R_12nwZqkReEuu9hu","bailey","straight",50,50,"sexual orientation"
"R_1Fg3F1zdJQQsb3k","bailey","gay",59,46,"sexual orientation"
"R_1Fg3F1zdJQQsb3k","bailey","straight",60,57,"sexual orientation"
"R_1FrMXiCtBmnV0uO","bailey","gay",60,60,"sexual orientation"
"R_1FrMXiCtBmnV0uO","bailey","straight",40,40,"sexual orientation"
"R_1H5iUQLEpcZzs8l","bailey","gay",24,43,"sexual orientation"
"R_1H5iUQLEpcZzs8l","bailey","straight",81,49,"sexual orientation"
"R_1MOLOKhzoZEdPIl","bailey","gay",67,80,"sexual orientation"
"R_1MOLOKhzoZEdPIl","bailey","straight",74,45,"sexual orientation"
"R_1NgGqPAoC4Dm4ac","bailey","gay",40,71,"sexual orientation"
"R_1NgGqPAoC4Dm4ac","bailey","straight",50,71,"sexual orientation"
"R_1NsowDOJoostGDN","bailey","gay",55,63,"sexual orientation"
"R_1NsowDOJoostGDN","bailey","straight",74,75,"sexual orientation"
"R_1OluyZpb2vksRKi","bailey","gay",60,31,"sexual orientation"
"R_1OluyZpb2vksRKi","bailey","straight",53,15,"sexual orientation"
"R_1PbCAH5AgN3DaIj","bailey","gay",53,74,"sexual orientation"
"R_1PbCAH5AgN3DaIj","bailey","straight",72,43,"sexual orientation"
"R_1dbm8hD1lyAsJeT","bailey","gay",50,50,"sexual orientation"
"R_1dbm8hD1lyAsJeT","bailey","straight",37,40,"sexual orientation"
"R_1djm9o8mRHHLTRz","bailey","gay",54,68,"sexual orientation"
"R_1djm9o8mRHHLTRz","bailey","straight",87,73,"sexual orientation"
"R_1dz8oQuiFytxMVQ","bailey","gay",54,31,"sexual orientation"
"R_1dz8oQuiFytxMVQ","bailey","straight",90,94,"sexual orientation"
"R_1eXcWh2rm633lqT","bailey","gay",38,34,"sexual orientation"
"R_1eXcWh2rm633lqT","bailey","straight",55,27,"sexual orientation"
"R_1hQP2LiiQiVzAw2","bailey","gay",63,70,"sexual orientation"
"R_1hQP2LiiQiVzAw2","bailey","straight",89,89,"sexual orientation"
"R_1il15M70LYNEQdx","bailey","gay",88,90,"sexual orientation"
"R_1il15M70LYNEQdx","bailey","straight",75,87,"sexual orientation"
"R_1j9BzAPm5NGxhY6","bailey","gay",43,29,"sexual orientation"
"R_1j9BzAPm5NGxhY6","bailey","straight",82,81,"sexual orientation"
"R_1jULVzbXtzM3DYC","bailey","gay",0,0,"sexual orientation"
"R_1jULVzbXtzM3DYC","bailey","straight",100,100,"sexual orientation"
"R_1pyrQcUyzgxSbMX","bailey","gay",7,17,"sexual orientation"
"R_1pyrQcUyzgxSbMX","bailey","straight",57,36,"sexual orientation"
"R_1r389NBRj4JgS98","bailey","gay",75,72,"sexual orientation"
"R_1r389NBRj4JgS98","bailey","straight",79,56,"sexual orientation"
"R_1r8r8IhWlb8Ql4H","bailey","gay",85,75,"sexual orientation"
"R_1r8r8IhWlb8Ql4H","bailey","straight",95,85,"sexual orientation"
"R_21bMIW97J11kUUP","bailey","gay",90,100,"sexual orientation"
"R_21bMIW97J11kUUP","bailey","straight",70,80,"sexual orientation"
"R_25ttQeTWc6U7auq","bailey","gay",41,55,"sexual orientation"
"R_25ttQeTWc6U7auq","bailey","straight",87,80,"sexual orientation"
"R_25zL6dU5K7JhCst","bailey","gay",47,47,"sexual orientation"
"R_25zL6dU5K7JhCst","bailey","straight",51,53,"sexual orientation"
"R_273eChsv5CGRjO1","bailey","gay",25,28,"sexual orientation"
"R_273eChsv5CGRjO1","bailey","straight",74,64,"sexual orientation"
"R_27QEhnK9OJYNn0P","bailey","gay",63,62,"sexual orientation"
"R_27QEhnK9OJYNn0P","bailey","straight",76,67,"sexual orientation"
"R_27UlT35HcLhpyqo","bailey","gay",57,10,"sexual orientation"
"R_27UlT35HcLhpyqo","bailey","straight",74,40,"sexual orientation"
"R_27kfEWtLplBlECv","bailey","gay",54,79,"sexual orientation"
"R_27kfEWtLplBlECv","bailey","straight",74,80,"sexual orientation"
"R_27r6WDAlELOF5B0","bailey","gay",52,48,"sexual orientation"
"R_27r6WDAlELOF5B0","bailey","straight",48,42,"sexual orientation"
"R_28D7g3EJPGL5hm9","bailey","gay",40,0,"sexual orientation"
"R_28D7g3EJPGL5hm9","bailey","straight",38,71,"sexual orientation"
"R_2Bhd8ai5YgiB2Qn","bailey","gay",30,40,"sexual orientation"
"R_2Bhd8ai5YgiB2Qn","bailey","straight",30,30,"sexual orientation"
"R_2BwZH3IrWhvagqH","bailey","gay",70,30,"sexual orientation"
"R_2BwZH3IrWhvagqH","bailey","straight",70,30,"sexual orientation"
"R_2CB88LReXQQ7H0q","bailey","gay",45,45,"sexual orientation"
"R_2CB88LReXQQ7H0q","bailey","straight",60,40,"sexual orientation"
"R_2CV1qtzn0TR5VmL","bailey","gay",35,60,"sexual orientation"
"R_2CV1qtzn0TR5VmL","bailey","straight",60,65,"sexual orientation"
"R_2OPgoRIy0hCGA1m","bailey","gay",60,70,"sexual orientation"
"R_2OPgoRIy0hCGA1m","bailey","straight",86,71,"sexual orientation"
"R_2TzRbFrFiErOYbi","bailey","gay",97,95,"sexual orientation"
"R_2TzRbFrFiErOYbi","bailey","straight",99,100,"sexual orientation"
"R_2V2tJeE71bfEhy2","bailey","gay",30,20,"sexual orientation"
"R_2V2tJeE71bfEhy2","bailey","straight",51,51,"sexual orientation"
"R_2VxPwF3O1MIDJtV","bailey","gay",14,17,"sexual orientation"
"R_2VxPwF3O1MIDJtV","bailey","straight",70,82,"sexual orientation"
"R_2aULih59r7xKw21","bailey","gay",51,51,"sexual orientation"
"R_2aULih59r7xKw21","bailey","straight",71,68,"sexual orientation"
"R_2aesJt89NKUFSC4","bailey","gay",84,13,"sexual orientation"
"R_2aesJt89NKUFSC4","bailey","straight",82,28,"sexual orientation"
"R_2afVjsBbocBxKr0","bailey","gay",79,70,"sexual orientation"
"R_2afVjsBbocBxKr0","bailey","straight",63,73,"sexual orientation"
"R_2dp4afBS7G3me5s","bailey","gay",56,56,"sexual orientation"
"R_2dp4afBS7G3me5s","bailey","straight",61,66,"sexual orientation"
"R_2npIjkmgNHlLGtr","bailey","gay",52,50,"sexual orientation"
"R_2npIjkmgNHlLGtr","bailey","straight",61,45,"sexual orientation"
"R_2rHs3FBYpz2w3AV","bailey","gay",66,65,"sexual orientation"
"R_2rHs3FBYpz2w3AV","bailey","straight",69,54,"sexual orientation"
"R_2rj8lwrGO3yAZ82","bailey","gay",22,76,"sexual orientation"
"R_2rj8lwrGO3yAZ82","bailey","straight",75,51,"sexual orientation"
"R_2tMzxxqm3aOyCt1","bailey","gay",46,66,"sexual orientation"
"R_2tMzxxqm3aOyCt1","bailey","straight",42,60,"sexual orientation"
"R_2tchVWZwWj5q4uq","bailey","gay",50,50,"sexual orientation"
"R_2tchVWZwWj5q4uq","bailey","straight",73,50,"sexual orientation"
"R_2z5TMmj921OPxwV","bailey","gay",82,67,"sexual orientation"
"R_2z5TMmj921OPxwV","bailey","straight",66,59,"sexual orientation"
"R_2z5xUox29bp9Bzi","bailey","gay",81,41,"sexual orientation"
"R_2z5xUox29bp9Bzi","bailey","straight",77,28,"sexual orientation"
"R_33xOWPjwikCpvxS","bailey","gay",20,50,"sexual orientation"
"R_33xOWPjwikCpvxS","bailey","straight",62,71,"sexual orientation"
"R_3CW2N9GXO0KRLFQ","bailey","gay",100,100,"sexual orientation"
"R_3CW2N9GXO0KRLFQ","bailey","straight",77,74,"sexual orientation"
"R_3GdL0WIVO8P9bwp","bailey","gay",68,80,"sexual orientation"
"R_3GdL0WIVO8P9bwp","bailey","straight",70,66,"sexual orientation"
"R_3GqXY3XzyXyxBgk","bailey","gay",30,80,"sexual orientation"
"R_3GqXY3XzyXyxBgk","bailey","straight",80,20,"sexual orientation"
"R_3Iaf95fDqBEjmTs","bailey","gay",50,50,"sexual orientation"
"R_3Iaf95fDqBEjmTs","bailey","straight",75,65,"sexual orientation"
"R_3KAVrVrI1O4nCCl","bailey","gay",55,37,"sexual orientation"
"R_3KAVrVrI1O4nCCl","bailey","straight",58,42,"sexual orientation"
"R_3Lhki3RN00pLMhJ","bailey","gay",43,43,"sexual orientation"
"R_3Lhki3RN00pLMhJ","bailey","straight",72,68,"sexual orientation"
"R_3LiJcoEJDJuQvcJ","bailey","gay",87,71,"sexual orientation"
"R_3LiJcoEJDJuQvcJ","bailey","straight",60,50,"sexual orientation"
"R_3Ok7UeMFujvCAIr","bailey","gay",76,63,"sexual orientation"
"R_3Ok7UeMFujvCAIr","bailey","straight",76,76,"sexual orientation"
"R_3VPOsthqTX79PG1","bailey","gay",40,65,"sexual orientation"
"R_3VPOsthqTX79PG1","bailey","straight",54,41,"sexual orientation"
"R_3dS5euE48hoRSPj","bailey","gay",38,60,"sexual orientation"
"R_3dS5euE48hoRSPj","bailey","straight",82,85,"sexual orientation"
"R_3e7RlqwDTXiQJy0","bailey","gay",52,56,"sexual orientation"
"R_3e7RlqwDTXiQJy0","bailey","straight",57,77,"sexual orientation"
"R_3e9pNDFidqSDz6o","bailey","gay",74,79,"sexual orientation"
"R_3e9pNDFidqSDz6o","bailey","straight",71,50,"sexual orientation"
"R_3fUIIJlELAgMuU4","bailey","gay",22,43,"sexual orientation"
"R_3fUIIJlELAgMuU4","bailey","straight",51,46,"sexual orientation"
"R_3gL6MdN8z0vjzPw","bailey","gay",45,35,"sexual orientation"
"R_3gL6MdN8z0vjzPw","bailey","straight",85,45,"sexual orientation"
"R_3h5OsLBM5F1hg7x","bailey","gay",42,52,"sexual orientation"
"R_3h5OsLBM5F1hg7x","bailey","straight",41,45,"sexual orientation"
"R_3jfxebj1MwewFqx","bailey","gay",38,62,"sexual orientation"
"R_3jfxebj1MwewFqx","bailey","straight",62,44,"sexual orientation"
"R_3k6Urcu3UbwF8oJ","bailey","gay",52,48,"sexual orientation"
"R_3k6Urcu3UbwF8oJ","bailey","straight",52,58,"sexual orientation"
"R_3lsrGLmQgNP4VIL","bailey","gay",41,39,"sexual orientation"
"R_3lsrGLmQgNP4VIL","bailey","straight",40,49,"sexual orientation"
"R_3qVww1Q8nnLEQc8","bailey","gay",50,50,"sexual orientation"
"R_3qVww1Q8nnLEQc8","bailey","straight",38,39,"sexual orientation"
"R_3rG3Wh0n4qnEHwO","bailey","gay",72,66,"sexual orientation"
"R_3rG3Wh0n4qnEHwO","bailey","straight",61,37,"sexual orientation"
"R_3snxVVwHwHUGvQ5","bailey","gay",66,43,"sexual orientation"
"R_3snxVVwHwHUGvQ5","bailey","straight",60,37,"sexual orientation"
"R_5jqQFwKdm1jHzOx","bailey","gay",40,45,"sexual orientation"
"R_5jqQFwKdm1jHzOx","bailey","straight",65,55,"sexual orientation"
"R_6xJS5hHd4DibSOB","bailey","gay",100,100,"sexual orientation"
"R_6xJS5hHd4DibSOB","bailey","straight",72,16,"sexual orientation"
"R_8CkCcjtOPktykhj","bailey","gay",60,60,"sexual orientation"
"R_8CkCcjtOPktykhj","bailey","straight",48,50,"sexual orientation"
"R_AmP0yiHdfNi2Z9L","bailey","gay",50,60,"sexual orientation"
"R_AmP0yiHdfNi2Z9L","bailey","straight",50,50,"sexual orientation"
"R_DHV5lBRDe92GoyR","bailey","gay",52,56,"sexual orientation"
"R_DHV5lBRDe92GoyR","bailey","straight",47,61,"sexual orientation"
"R_DtKVc47koSBZ7Il","bailey","gay",50,50,"sexual orientation"
"R_DtKVc47koSBZ7Il","bailey","straight",80,60,"sexual orientation"
"R_UDWY0igMff6LRVn","bailey","gay",57,60,"sexual orientation"
"R_UDWY0igMff6LRVn","bailey","straight",53,32,"sexual orientation"
"R_UQoNKCdhkxTt961","bailey","gay",43,68,"sexual orientation"
"R_UQoNKCdhkxTt961","bailey","straight",70,50,"sexual orientation"
"R_VL9NpekUI4BK1cR","bailey","gay",32,68,"sexual orientation"
"R_VL9NpekUI4BK1cR","bailey","straight",36,60,"sexual orientation"
"R_WqbLVvLHRHfqJ9v","bailey","gay",10,25,"sexual orientation"
"R_WqbLVvLHRHfqJ9v","bailey","straight",50,50,"sexual orientation"
"R_XTAzmTAYDRx9WQp","bailey","gay",86,94,"sexual orientation"
"R_XTAzmTAYDRx9WQp","bailey","straight",87,66,"sexual orientation"
"R_ahpEX2Yybqg6hJ7","bailey","gay",12,43,"sexual orientation"
"R_ahpEX2Yybqg6hJ7","bailey","straight",51,51,"sexual orientation"
"R_b4zrinhUeNokVGN","bailey","gay",56,31,"sexual orientation"
"R_b4zrinhUeNokVGN","bailey","straight",46,60,"sexual orientation"
"R_cSz3Nag1WAEwDIZ","bailey","gay",21,19,"sexual orientation"
"R_cSz3Nag1WAEwDIZ","bailey","straight",53,38,"sexual orientation"
"R_pKmbS4c5VrwC413","bailey","gay",51,50,"sexual orientation"
"R_pKmbS4c5VrwC413","bailey","straight",55,79,"sexual orientation"
"R_sFPNb52QxZaUgEh","bailey","gay",53,52,"sexual orientation"
"R_sFPNb52QxZaUgEh","bailey","straight",81,64,"sexual orientation"
"R_sMqbMpOXfaKw9Db","bailey","gay",52,61,"sexual orientation"
"R_sMqbMpOXfaKw9Db","bailey","straight",32,65,"sexual orientation"
"R_svaRay6n7GNNLWN","bailey","gay",70,64,"sexual orientation"
"R_svaRay6n7GNNLWN","bailey","straight",81,70,"sexual orientation"
"R_vIhNBnO1EhpQ3K1","bailey","gay",50,62,"sexual orientation"
"R_vIhNBnO1EhpQ3K1","bailey","straight",52,66,"sexual orientation"
"R_w0OV5AzgOcSzPih","bailey","gay",49,49,"sexual orientation"
"R_w0OV5AzgOcSzPih","bailey","straight",54,53,"sexual orientation"
"R_w5lZrhMW5GroFot","bailey","gay",67,67,"sexual orientation"
"R_w5lZrhMW5GroFot","bailey","straight",51,50,"sexual orientation"
"R_xbxd1OKMtJOCy5P","bailey","gay",37,45,"sexual orientation"
"R_xbxd1OKMtJOCy5P","bailey","straight",64,48,"sexual orientation"
